OBJECT_ID,Name of Museum or HC,Add1,Add2,Add3,County,Postcode
512,Cormackstown Heritage Centre,Holycross,,Thurles,Tipperary,
513,Thomas MacDonagh Heritage Centre,Lower Main Street,,Cloughjordan,Tipperary,
514,Tipperary Studies,The Source,Cathedral Street,Thurles,Tipperary,
515,Holycross Abbey,Holycross,,Thurles,Tipperary,
516,The Main Guard,Sarsfield Street,,Clonmel,Tipperary,
517,Benburb Valley Heritage Centre,89 Milltown Road,Tullymore Etra,Milltown,Tyrone,BT71 7LZ
518,Gray's Printing Press Museum,49 Main Street,,Strabane,Tyrone,BT82 8AU
519,The Argory National Trust,144 Derrycaw Road,Moy,Dungannon,Tyrone,BT71 6NA
520,Ulster American Folk Park,2 Mellon Road,Castletown,Omagh,Tyrone,BT78 5QU
521,Wilson Ancestral Home,28 Sprout Road,Dergalt,Strabane,Tyrone,BT82 8NB
522,Strabane Museum,47 Derry Road,,Strabane,Tyrone,BT82 8DY
523,Waterford Treasures - Bishop's Palace,The Mall,,Waterford,Waterford,
524,Museum of Contemporary Figurative Arts and Gardens,Fairbrook House,,Kilmeaden,Waterford,
525,Lismore Castle Gardens and Gallery,Lismore Castle,,Lismore,Waterford,
526,Copper Coast Geopark Centre,Knockmahon,,Bunmahon,Waterford,
527,"Curraghmore House, Shell House & Gardens",,,Portlaw,Waterford,
528,Cappoquin House and Gardens,,,Cappoquin,Waterford,
529,Edmund Rice International Heritage Centre,Mount Sion,,Waterford,Waterford,
530,Waterford Treasures - Medieval Museum,Cathedral Square,,Waterford,Waterford,
531,Waterford County Museum,Old Town Hall,,Dungarvan,Waterford,
532,Waterford Municipal Art Collection,Theatre Royal,,Waterford,Waterford,
533,Greyfriars Municipal Art Gallery,Greyfriars Street,,Waterford,Waterford,
534,Waterford City Archives,High Street,,Waterford,Waterford,
535,Waterford County Archives ,Dungarvan Library,Davitt's Quay,Dungarvan,Waterford,
536,Lismore Heritage Centre,Lismore,,Lismore,Waterford,
537,Waterford Treasures - Reginald's Tower,The Quay,,Waterford,Waterford,
538,Dungarvan Castle,Castle Street,,Dungarvan,Waterford,
539,The Old Market House,Lower Main Street ,,Dungarvan,Waterford,
540,House of Waterford Crystal,The Mall,,Waterford,Waterford,
541,Christ Church Cathedral,Cathedral Square,,Waterford,Waterford,
542,Bewick Art Exhibition WIT,Walton Building,,WIT,Waterford,
